Minneapolis,New York,40.6943,-73.9249,341.4035088
Minneapolis,Los Angeles,34.1139,-118.4068,409.6842105
Minneapolis,Chicago,41.8373,-87.6861,160
Minneapolis,Miami,25.784,-80.2102,214.5964912
Minneapolis,Dallas,32.7937,-96.7662,360.9122807
Minneapolis,Philadelphia,40.0076,-75.134,319.5536842
Minneapolis,Houston,29.7868,-95.3905,209.7192982
Minneapolis,Washington,38.9047,-77.0163,300.4350877
Minneapolis,Atlanta,33.7626,-84.4228,341.4035088
Minneapolis,Boston,42.3188,-71.0846,371.4470175
Minneapolis,Phoenix,33.5722,-112.0891,395.0526316
Minneapolis,Seattle,47.6211,-122.3244,518.9333333
Minneapolis,San Francisco,37.7562,-122.443,375.5438596
Minneapolis,Detroit,42.3834,-83.1024,160
Minneapolis,San Diego,32.8312,-117.1226,575.5087719
Minneapolis,Tampa,27.9937,-82.4454,287.754386
Minneapolis,Denver,39.7621,-104.8759,315.0666667
Minneapolis,Baltimore,39.3051,-76.6144,331.6491228
Minneapolis,Saint Louis,38.6358,-90.2451,220
Minneapolis,Las Vegas,36.2291,-115.2607,190.2105263
Minneapolis,Portland,45.5372,-122.65,189.2350877
Minneapolis,San Antonio,29.4722,-98.5247,312.1403509
Minneapolis,Sacramento,38.5667,-121.4683,217.522807
