St Paul,New York,40.6943,-73.9249,125.3132832,209.273183
St Paul,Los Angeles,34.1139,-118.4068,150.3759398,251.1278195
St Paul,Chicago,41.8373,-87.6861,25.51020408,42.60204082
St Paul,Philadelphia,40.0076,-75.134,117.2932331,195.8796992
St Paul,Washington,38.9047,-77.0163,110.2756892,184.160401
St Paul,Atlanta,33.7626,-84.4228,125.3132832,209.273183
St Paul,Boston,42.3188,-71.0846,136.3408521,227.6892231
St Paul,Phoenix,33.5722,-112.0891,145.0053706,242.1589689
St Paul,Seattle,47.6211,-122.3244,190.4761905,318.0952381
St Paul,San Francisco,37.7562,-122.443,137.8446115,230.2005013
St Paul,Detroit,42.3834,-83.1024,34.58646617,57.7593985
