Chicago,New York,40.6943,-73.9249,19354922,116.6666667
Chicago,Los Angeles,34.1139,-118.4068,12815475,140
Chicago,Miami,25.784,-80.2102,6381966,73.33333333
Chicago,Dallas,32.7937,-96.7662,5733259,123.3333333
Chicago,Philadelphia,40.0076,-75.134,5637884,109.2
Chicago,Houston,29.7868,-95.3905,5446468,71.66666667
Chicago,Washington,38.9047,-77.0163,5289420,102.6666667
Chicago,Atlanta,33.7626,-84.4228,5228750,116.6666667
Chicago,Boston,42.3188,-71.0846,4637537,126.9333333
Chicago,Phoenix,33.5722,-112.0891,4081849,135
Chicago,Seattle,47.6211,-122.3244,3643765,177.3333333
Chicago,San Francisco,37.7562,-122.443,3603761,128.3333333
Chicago,Detroit,42.3834,-83.1024,3522206,32.2
Chicago,San Diego,32.8312,-117.1226,3210314,196.6666667
Chicago,Minneapolis,44.9635,-93.2678,2926757,15
Chicago,Tampa,27.9937,-82.4454,2804240,98.33333333
Chicago,Denver,39.7621,-104.8759,2787266,107.6666667
Chicago,Baltimore,39.3051,-76.6144,2170504,113.3333333
Chicago,Saint Louis,38.6358,-90.2451,2078283,20.06666667
Chicago,Las Vegas,36.2291,-115.2607,2073045,65
Chicago,Portland,45.5372,-122.65,2052796,64.66666667
Chicago,San Antonio,29.4722,-98.5247,2002530,106.6666667
Chicago,Sacramento,38.5667,-121.4683,1854698,74.33333333
